INPUT,方向
即期日元结汇,SELL
buy usdcny T+0,BUY
USDCNY 20230809 购汇,BUY
JPYCNY 20240314 结汇,SELL
Buy USDCNY T+0,BUY
Sell USDCNY 20230712,SELL
sell usdcny 20230927,SELL
buy usdcny 20231031,BUY
USDCNH T+1 结汇,SELL
SELL USDCNH 20240117,SELL
Sell EURCNY T+0,SELL
buy USDCNH T+0,BUY
sell usdcny t+0,SELL
EURCNY T+0 结汇,SELL
HKDCNY T+0 购汇 ,BUY
USDCNH t+0 结汇,SELL
：远期美元结汇1Y,SELL
USDCNY T+1 结汇,SELL
USDCNH T+0 结汇,SELL
Sell USDCNY 5M,SELL
SELL USDCNY T+0,SELL
buy usdcnh 20230912,BUY
USDCNY T+0 购汇,BUY
sell usdcny t+0,SELL
Sell EURCNY T+0,SELL
USDCNY 20230331 结汇,SELL
USDCNY 20230531 结汇,SELL
USDCNY 20231130 购汇,BUY
USDCNY 3M 结汇,SELL
USDCNH t+0 结汇,SELL
USDCNY 20231024 购汇,BUY
sell usdcny 20240418,SELL
EURCNY T+0 购汇,BUY
USDCNH T+0 结汇,SELL
USDCNY T+0 购汇 ,BUY
USDCNY T+0 购汇 ,BUY
Sell USDCNY 20230228,SELL
sell usdcny t+2,SELL
Sell USDCNY 9M,SELL
Sell USDCNY T+0,SELL
USDCNY 20230331 购汇,BUY
USDCNY T+1 结汇,SELL
BUY USDCNY 20230315,BUY
USDCNH T+0 结汇,SELL
SELL USDCNY T+0,SELL
USDCNY 2m 购汇,BUY
SELL USDCNH 20240125,SELL
buy JPYCNY 20231215,BUY
USDCNY T+1 购汇,BUY
美元即期结汇,SELL
USDCNY T+0 购汇,BUY
JPYCNY T+0 结汇,SELL
Sell EURCNY 20230531,SELL
USDCNY 20231010 购汇,BUY
USDCNY 20230831 购汇,BUY
即期美元结汇,SELL
usdcny 20231031  结汇,SELL
远期美元结汇1M,SELL
JPYCNY T+0 购汇,BUY
usdcny T+0 购汇,BUY
远期美元结汇3M,SELL
欧元购汇,BUY
USDCNY 20240812 结汇,SELL
USDCNY T+0 购汇,BUY
购汇远期美元,BUY
USDCNH t+0 结汇,SELL
sell usdcny T+1,SELL
Sell EURCNY T+0,SELL
Sell USDCNH 20231023,SELL
USDCNY T+0 结汇,SELL
USDCNY 20230207  购汇,BUY
美元远期结汇 20240131,SELL
美元即期结汇,SELL
USDCNY 20240412 购汇,BUY
USDCNH t+0 结汇,SELL
即期美元购汇,BUY
sell usdcny t+2,SELL
USDCNY T+0 结汇,SELL
buy usdcny T+2,BUY
sell hkdcny 20231010,SELL
远期美元结汇20231229,SELL
"SELL USDCNH 20231009
",SELL
SELL USDCNY T+0,SELL
USDCNY 20230420 结汇,SELL
Sell USDCNY 12M,SELL
Buy USDCNY T+0,BUY
sell HKDcny 20240416,SELL
EURCNY 1M 结汇 ,SELL
BUY USDCNY T+0,BUY
sell usdcnh t+0,SELL
USDCNY 3M 结汇 ,SELL
USDCNY T+0 结汇,SELL
EURCNY T+0 购汇,BUY
USDCNY 20230918 结汇,SELL
sell usdcny 20230928,SELL
sell EURCNY T+0,SELL
USDCNY 2M 结汇,SELL
sell usdcny 20230831,SELL
即期美元结汇,SELL
USDCNY T+0 结汇,SELL
Sell USDCNH 20241130,SELL
buy usdcny 10m,BUY
BUY EURCNY 20221230,BUY
即期美元购汇,BUY
BUY,BUY
usdcny 12m 结汇,SELL
SELL USDCNY 3M 7.0,SELL
USDCNY 20231213,NAN
7.264,NAN
咨询,NAN
