INPUT,方向,货币,外币对方向,TENOR,时间,EXPECTED
USDCNY 20230207  购汇,BUY,USD CNY,nan,nan,20230207,nan
buy usdcny T+0,BUY,USD CNY,nan,T+0,nan,nan
"2笔展期 usdcny usd 1mio*2 0926 roll to 1226 b/s swp=-730/-760/-780/-860 , and sell eurusd strangle (1.0750, 1.20) eur 1mio*4, exp: 240426/0529/0627/0729 prem=136/153/167/183",NAN,USD CNY EUR,SELL EUR BUY USD,nan,nan,nan
HKDCNY T+0 购汇 ,BUY,EUR CNY,nan,T+0,nan,nan
USDCNY 20230724结汇,SELL,USD CNY,nan,nan,20230724,nan
20230120,NAN,NAN,nan,nan,20230120,nan
USDCNY  20231130 结汇,SELL,USD CNY,nan,nan,20231130,nan
buy USDCNY 20240928,BUY,USD CNY,nan,nan,20240928,nan
BUY HKDCNY 20230316,BUY,HKD CNY,nan,nan,20230316,nan
USDCNY T+0-1Y,NAN,USD CNY,nan,t+0,nan,nan
buy usdcnh 20231212,BUY,USD CNH,nan,nan,20231212,nan
EURUSD 3M 结汇,SELL,EUR USD,SELL EUR BUY USD,3M,nan,BUY EURUSD 3M
USDCNY 结汇,SELL,USD CNY,nan,nan,nan,nan
USDCNY 12M 结汇,SELL,USD CNY,nan,1y,nan,nan
Sell USDCAD T+0,SELL,USD CAD,nan,T+0,nan,nan
你能介绍下自己吗,NAN,NAN,nan,nan,nan,nan
Sell USDCNH 20241130,SELL,USD CNH,nan,nan,20241130,nan
SGDCNY T+0 ,NAN,SGD CNY,nan,T+0,nan,nan
USDCNY T+1 购汇,BUY,USD CNY,nan,T+1,nan,BUY USDCNY T+1
Sell EURCNY T+0,SELL,EUR CNY,nan,T+0,nan,nan
USDCNY 20230812购汇,BUY,USD CNY,nan,nan,20230812,nan
Sell USDJPY T+0,SELL,USD JPY,nan,t+0,nan,nan
sell jpycny 20230215,SELL,JPY CNY,nan,nan,20230215,nan
sell usdcnh 20230329,SELL,USD CNH,nan,nan,20230329,nan
USDCNY 20230124 购汇 ,BUY,USD CNY,nan,nan,20230124,nan
卖出,SELL,NAN,nan,nan,nan,nan
KKDCNY T+0 购,BUY,HKD CNY,nan,T+0,nan,nan
BUY USDCNY 20240817,BUY,USD CNY,nan,nan,20240817,nan
即期日元结汇,SELL,JPY,nan,T+0,nan,nan
Sell USDEUR T+0,SELL,USD EUR,nan,t+0,nan,nan
美金利率,NAN,USD,nan,nan,nan,nan
我想买入美元卖出人民币一年,BUY,USD CNY,nan,1Y,nan,BUY USDCNY 1Y
USDCNY 20231230 购汇,BUY,USD CNY,nan,nan,20231230,nan
即期美元结汇,SELL,USD,nan,T+0,nan,nan
即期美元汇率,NAN,USD,nan,t+0,nan,nan
买美元卖欧元半年,BUY,EUR USD,SELL EUR BUY USD,6M,nan,SELL EURUSD 6M
USDCNY 20230506 购汇,BUY,USD CNY,nan,nan,20230506,nan
buy JPYCNY 20230909,BUY,JPY CNY,nan,nan,20230909,nan
Sell USDCNY 20230228,SELL,USD CNY,nan,nan,20230228,nan
buy usdcnh 20230912,BUY,USD CNH,nan,nan,20230912,nan
USDCNY 20230702 结汇,SELL,USD CNY,nan,nan,20230702,nan
BUY USDCNY 20231007,BUY,USD CNY,nan,nan,20231007,nan
USDCNH T+0 结汇,SELL,USD CNH,nan,T+0,nan,nan
USDCNH 结汇,SELL,USD CNH,nan,nan,nan,nan
sell eurusd T+0 1.07,SELL,EUR USD,SELL EUR BUY USD,T+0,nan,nan
SELL USDCNY 3M 7.0,SELL,USD CNY,nan,3m,nan,nan
EUR CNY 3M 购汇,BUY,EUR CNY,nan,3m,nan,nan
sell usdjpy 20240424,SELL,USD JPY,nan,nan,20240424,nan
USDCNH 20230210 结汇,SELL,USD CNH,nan,nan,20230210,nan
Sell USDCNY 12M,SELL,USD CNY,nan,1y,nan,nan
usdcny 20230909 结汇,SELL,USD CNY,nan,nan,20230909,nan
卖 USD 买 EUR 12M,SELL,EUR USD,BUY EUR SELL USD,1Y,nan,BUY EURUSD 1Y
CNH,NAN,CNH,nan,nan,nan,nan
USDCNY T+0 购汇 ,BUY,USD CNY,nan,T+0,nan,nan
EURCNY 20221123 大后天,NAN,EUR CNY,nan,T+3,20221123,nan
报价规范,NAN,NAN,nan,nan,nan,nan
USDCNH 8M 结汇,SELL,USD CNH,nan,8m,nan,nan
即期美元购汇,BUY,USD,nan,T+0,nan,nan
@招小萃 sell usdcny 3m,SELL,USD CNY,nan,3M,nan,SELL USDCNY 3M
